Date,Open,High,Low,Close,Adj Close,Volume,ma1,ma2,ma3,ma5,ma9,ma10,ma20,ma1x2,ma1x3,ma1x5,ma1x9,ma1x10,ma1x20,ma2x3,ma2x5,ma2x9,ma2x10,ma2x20,ma3x5,ma3x9,ma3x10,ma3x20,ma5x9,ma5x10,ma5x20,ma9x10,ma9x20,ma10x20,updown,updowns_percents
1999-03-24,1.5833333730697632,1.59375,1.5208333730697632,1.5833333730697632,1.4566025733947754,1521600.0,1.5833333730697632,1.5885416865348816,1.625,1.6739583253860473,1.6973379585478041,1.7005208253860473,1.747656238079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.006535922779756453
1999-03-25,1.578125,1.6666666269302368,1.5729166269302368,1.6041666269302368,1.4757682085037231,1008000.0,1.6041666269302368,1.59375,1.59375,1.6458333253860473,1.6869212918811374,1.6880208253860474,1.732031238079071,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013157844213238734
1999-03-26,1.625,1.75,1.625,1.7447916269302368,1.605137586593628,2206800.0,1.7447916269302368,1.6744791269302368,1.6440972089767456,1.6447916507720948,1.6840277645323012,1.6927083253860473,1.727864569425583,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08766233983380056
1999-03-29,1.796875,1.8385416269302368,1.765625,1.796875,1.6530522108078003,1648800.0,1.796875,1.7708333134651184,1.7152777512868245,1.6645833253860474,1.6932870282067194,1.695312488079071,1.7257812380790711,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.02985076972279943
1999-03-30,1.8020833730697632,1.8177083730697632,1.6354166269302368,1.6458333730697632,1.5140997171401978,1737600.0,1.6458333730697632,1.7213541865348816,1.7291666666666667,1.675,1.6846064726511638,1.6885416626930236,1.7169270753860473,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-0.08405794890030571
1999-03-31,1.6979166269302368,1.78125,1.6197916269302368,1.7604166269302368,1.6195119619369507,3840000.0,1.7604166269302368,1.703125,1.734375,1.7104166507720948,1.6863425837622747,1.692187488079071,1.7200520753860473,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0.06962020319636375
1999-04-01,1.7604166269302368,1.7708333730697632,1.6770833730697632,1.7083333730697632,1.5715973377227783,760800.0,1.7083333730697632,1.734375,1.7048611243565877,1.73125,1.6817129585478041,1.6885416626930236,1.7223958253860474,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,-1,-0.02958575434003652
1999-04-05,1.6875,1.7291666269302368,1.6458333730697632,1.65625,1.5236828327178955,2466000.0,1.65625,1.6822916865348816,1.7083333333333333,1.7135416746139527,1.6770833333333333,1.6791666626930237,1.7174479067325592,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-0.0304878274292405
1999-04-06,1.671875,1.6770833730697632,1.5833333730697632,1.6145833730697632,1.4853514432907104,1742400.0,1.6145833730697632,1.6354166865348816,1.6597222487131755,1.6770833492279054,1.679398152563307,1.6708333373069764,1.7091145753860473,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,-1,-0.025157208712595858
1999-04-07,1.625,1.7604166269302368,1.6145833730697632,1.75,1.6099289655685425,2232000.0,1.75,1.6822916865348816,1.6736111243565877,1.6979166746139527,1.6979166666666667,1.6864583373069764,1.7046874940395356,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0838709410668419
